carton|plan|category_label|stage|active|program|version_pk|tag|mapper_pk|mapper_label|category_pk|magnitude_placeholders
manual_bright_targets_g13_offset_fixed_1|0.5.3|science|none|n|commissioning|95|0.3.4|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'TMASS_Invalid'}
manual_bright_targets_g13_offset_fixed_2|0.5.3|science|none|n|commissioning|95|0.3.4|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'TMASS_Invalid'}
manual_bright_targets_g13_offset_fixed_3|0.5.3|science|none|n|commissioning|95|0.3.4|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'TMASS_Invalid'}
manual_bright_targets_g13_offset_fixed_4|0.5.3|science|none|n|commissioning|95|0.3.4|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'TMASS_Invalid'}
manual_bright_targets_g13_offset_fixed_5|0.5.3|science|none|n|commissioning|95|0.3.4|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'TMASS_Invalid'}
manual_bright_targets_g13_offset_fixed_6|0.5.3|science|none|n|commissioning|95|0.3.4|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'TMASS_Invalid'}
manual_bright_targets_g13_offset_fixed_7|0.5.3|science|none|n|commissioning|95|0.3.4|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'TMASS_Invalid'}
manual_fps_position_stars|0.5.3|science|none|n|commissioning|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
manual_nsbh_apogee|0.5.3|science|srd|y|mwm_cb|95|0.3.4|0|MWM|0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
manual_nsbh_boss|0.5.3|science|srd|y|mwm_cb|95|0.3.4|0|MWM|0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
manual_mwm_tess_ob|0.5.13|science|srd|y|mwm_tessob|111|0.3.12|0|MWM|0|{'SDSS_None', 'TMASS_Invalid'}
mwm_cb_300pc_apogee|0.5.19|science|srd|y|mwm_cb|117|0.3.18|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_cb_300pc_boss|0.5.19|science|srd|y|mwm_cb|117|0.3.18|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_cb_cvcandidates_apogee|0.5.0|science|srd|y|mwm_cb|83|0.3.0|0|MWM|0|{'SDSS_Invalid'}
mwm_cb_cvcandidates_boss|0.5.0|science|srd|y|mwm_cb|83|0.3.0|0|MWM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_cb_gaiagalex_apogee|0.5.0|science|srd|y|mwm_cb|83|0.3.0|0|MWM|0|{'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_cb_gaiagalex_boss|0.5.0|science|srd|y|mwm_cb|83|0.3.0|0|MWM|0|{'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_cb_uvex1|0.5.0|science|srd|y|mwm_cb|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_cb_uvex2|0.5.0|science|srd|y|mwm_cb|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_cb_uvex3|0.5.0|science|srd|y|mwm_cb|83|0.3.0|0|MWM|0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_cb_uvex4|0.5.0|science|srd|y|mwm_cb|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_cb_uvex5|0.5.0|science|srd|y|mwm_cb|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid'}
mwm_dust_core|0.5.0|science|srd|y|mwm_dust|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid'}
mwm_erosita_compact_gen|0.5.2|science|srd|y|mwm_erosita|93|0.3.3|0|MWM|0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_erosita_compact_var|0.5.2|science|srd|y|mwm_erosita|93|0.3.3|0|MWM|0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_erosita_stars|0.5.2|science|srd|y|mwm_erosita|93|0.3.3|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_galactic_core|0.5.0|science|srd|y|mwm_galactic|83|0.3.0|0|MWM|0|{'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_legacy_ir2opt|0.5.0|science|srd|y|mwm_legacy|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid'}
mwm_ob_cepheids|0.5.1|science|srd|y|mwm_ob|92|0.3.2|0|MWM|0|{'SDSS_None', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_ob_core|0.5.1|science|srd|y|mwm_ob|92|0.3.2|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_rv_long_fps|0.5.18|science|srd|y|mwm_rv|116|0.3.17|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid'}
mwm_rv_short_fps|0.5.18|science|srd|y|mwm_rv|116|0.3.17|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid'}
mwm_snc_100pc_apogee|0.5.0|science|srd|y|mwm_snc|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_snc_100pc_boss|0.5.0|science|srd|y|mwm_snc|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_snc_250pc_apogee|0.5.0|science|srd|y|mwm_snc|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_snc_250pc_boss|0.5.0|science|srd|y|mwm_snc|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_tess_ob|0.5.11|science|srd|n|mwm_tessob|109|0.3.10|0|MWM|0|{'SDSS_None', 'TMASS_Invalid'}
mwm_tess_planet|0.5.0|science|srd|y|mwm_planet|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_tessrgb_core|0.5.0|science|srd|y|mwm_tessrgb|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid'}
mwm_wd_core|0.5.0|science|srd|y|mwm_wd|83|0.3.0|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_yso_cluster_apogee|0.5.17|science|srd|y|mwm_yso|115|0.3.16|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid'}
mwm_yso_cluster_boss|0.5.17|science|srd|y|mwm_yso|115|0.3.16|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
mwm_yso_cmz_apogee|0.5.17|science|srd|y|mwm_yso|115|0.3.16|0|MWM|0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid'}
mwm_yso_disk_apogee|0.5.17|science|srd|y|mwm_yso|115|0.3.16|0|MWM|0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid'}
mwm_yso_disk_boss|0.5.17|science|srd|y|mwm_yso|115|0.3.16|0|MWM|0|{'SDSS_None', 'SDSS_Invalid'}
mwm_yso_embedded_apogee|0.5.17|science|srd|y|mwm_yso|115|0.3.16|0|MWM|0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid'}
mwm_yso_nebula_apogee|0.5.17|science|srd|y|mwm_yso|115|0.3.16|0|MWM|0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid'}
mwm_yso_ob_apogee|0.5.0|science|srd|n|mwm_yso|83|0.3.0|0|MWM|0|{'SDSS_None', 'TMASS_Invalid'}
mwm_yso_ob_boss|0.5.0|science|srd|n|mwm_yso|83|0.3.0|0|MWM|0|{'SDSS_None', 'TMASS_Invalid'}
mwm_yso_pms_apogee|0.5.1|science|srd|y|mwm_yso|92|0.3.2|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid'}
mwm_yso_pms_boss|0.5.1|science|srd|y|mwm_yso|92|0.3.2|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid'}
mwm_yso_variable_apogee|0.5.17|science|srd|y|mwm_yso|115|0.3.16|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid'}
mwm_yso_variable_boss|0.5.17|science|srd|y|mwm_yso|115|0.3.16|0|MWM|0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid'}
openfibertargets_nov2020_10|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_1000|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_1001a|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_1001b|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid'}
openfibertargets_nov2020_11|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'TMASS_Invalid'}
