                  carton                  | target_selection_plan | code_tag 
 openfibertargets_nov2020_17              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_18              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_19a             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_19b             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_19c             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_22              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_24              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_25              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_26              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_27              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_28a             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_28b             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_28c             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_29              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_3               | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_30              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_31              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_32              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_33              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_34a             | 0.5.13                | 0.3.12
 openfibertargets_nov2020_34b             | 0.5.13                | 0.3.12
 openfibertargets_nov2020_35a             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_35b             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_35c             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_46              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_47a             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_47b             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_47c             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_47d             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_47e             | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_5               | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_6a              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_6b              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_6c              | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_8               | 0.5.3                 | 0.3.4
 openfibertargets_nov2020_9               | 0.5.3                 | 0.3.4
 ops_2mass_psc_brightneighbors            | 0.5.5                 | 0.3.6
 ops_gaia_brightneighbors                 | 0.5.5                 | 0.3.6
 ops_sky_apogee_best                      | 0.5.9                 | 0.3.9
 ops_sky_apogee_good                      | 0.5.9                 | 0.3.9
 ops_sky_boss_best                        | 0.5.9                 | 0.3.9
 ops_sky_boss_fallback                    | 0.5.12                | 0.3.11
 ops_sky_boss_good                        | 0.5.9                 | 0.3.9
 ops_std_apogee                           | 0.5.0                 | 0.3.0
 ops_std_boss                             | 0.5.0                 | 0.3.0
 ops_std_boss_gdr2                        | 0.5.0                 | 0.3.0
 ops_std_boss_lsdr8                       | 0.5.0                 | 0.3.0
 ops_std_boss_ps1dr2                      | 0.5.0                 | 0.3.0
 ops_std_boss_red                         | 0.5.0                 | 0.3.0
 ops_std_boss_tic                         | 0.5.0                 | 0.3.0
 ops_std_eboss                            | 0.5.0                 | 0.3.0
 ops_tycho2_brightneighbors               | 0.5.5                 | 0.3.6
