carton|program|version_pk|plan|tag|mapper_pk|mapper_label|category_pk|category_label|value|value_min|value_max|priority_min|priority_max|cadence_pk|cadence_label|lambda_eff|instrument_pk|instrument_label|magnitude_placeholder
bhm_spiders_agn_skymapperdr2|bhm_spiders|83|0.5.0|0.3.0|1|BHM|0|science|{0.0, 1.0}|0.0|1.0|1550|3752|{9, 33, 31}|{'bright_2x1', 'dark_1x2', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_spiders_agn_supercosmos|bhm_spiders|83|0.5.0|0.3.0|1|BHM|0|science|{0.0, 1.0}|0.0|1.0|1560|3763|{33, 9, 31}|{'bright_2x1', 'dark_1x2', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_spiders_clusters_efeds_stragglers|bhm_spiders|83|0.5.0|0.3.0|1|BHM|0|science|{1.0, 5.0}|1.0|5.0|1500|1629|{33, 31}|{'dark_1x2', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'GAIA_0.0', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_spiders_clusters_lsdr8|bhm_spiders|83|0.5.0|0.3.0|1|BHM|0|science|{1.0, 5.0}|1.0|5.0|1501|1659|{33, 9, 31}|{'bright_2x1', 'dark_1x2', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'TMASS_Invalid', 'GAIA_Invalid'}
bhm_spiders_clusters_ps1dr2|bhm_spiders|83|0.5.0|0.3.0|1|BHM|0|science|{1.0, 5.0}|1.0|5.0|1502|1689|{33, 9, 31}|{'bright_2x1', 'dark_1x2', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
manual_bhm_spiders_comm|commissioning|95|0.5.3|0.3.4|1|BHM|0|science|{0.0}|0.0|0.0|1000|1010|{33}|{'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
manual_bright_target_offsets_1|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_target_offsets_1_g13|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_target_offsets_2|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_target_offsets_2_g13|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_targets|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_targets_g13|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_targets_g13_offset_fixed_1|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
